id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,secondary_moods,language,explicit
3825,Winter Runner Falling,ShadowParade3825,latin,angry,0.53,132,0.29,0.46,0.33,50,2000s,bright|tender,english,false
3826,Crystal Sky Faded,LoEcho3826,jazz,melancholy,0.39,121,0.43,0.11,0.20,61,1980s,playful|nostalgic,japanese,false
3827,Midnight Waves Neon,Cosmicline3827,classical,angry,0.70,128,0.85,0.45,0.34,62,1990s,moody|focused,english,false
3828,Crystal City Glass,CrimsonDrift3828,metal,peaceful,0.59,91,0.45,0.75,0.00,84,2000s,tender|nostalgic,french,false
3829,Shadow Echo Neon,Shadow73829,rnb,sad,0.58,103,0.22,0.76,0.45,71,1980s,bittersweet|bright,portuguese,false
3830,Midnight Rain Wild,IndigoCollective3830,latin,intense,1.00,98,0.53,0.38,0.35,31,2010s,triumphant|gritty,french,false
3831,Neon Lights Burning,IndigoEcho3831,country,peaceful,0.68,80,0.57,0.79,0.03,56,2010s,tender|bittersweet,english,false
3832,Ocean Parade Rooftop,PixelEcho3832,lofi,melancholy,0.59,158,0.42,0.42,0.74,47,1980s,nostalgic|dark,spanish,false
3833,Iron Dreams Sunrise,IronMachine3833,jazz,romantic,0.69,138,1.00,0.04,0.21,75,1990s,warm|wistful,english,false
3834,Shadow Bloom Glass,IronParade3834,country,chill,0.60,137,0.62,0.07,0.00,79,2000s,uplifting|warm,portuguese,false
3835,Rooftop Runner Golden,AmberUnion3835,pop,hopeful,0.51,85,0.65,0.25,0.54,43,1990s,aggressive|nostalgic,hindi,false
3836,Sunrise Fire Neon,VoltWave3836,latin,angry,0.48,99,0.91,0.51,0.05,58,2020s,playful|nostalgic,japanese,false
3837,Paper Parade Summer,PixelLanterns3837,rnb,intense,0.44,116,0.52,0.74,0.12,76,1970s,introspective|bittersweet,korean,false
3838,Wild Dreams Rooftop,StaticSound3838,rock,peaceful,0.72,66,0.70,0.65,0.55,41,1970s,dark|focused,korean,false
3839,Velvet Waves Summer,NeonSociety3839,indie,hopeful,1.00,175,0.48,0.33,0.45,61,1970s,moody|wistful,spanish,false
3840,Amber City Iron,IndigoProject3840,jazz,angry,1.00,145,0.53,0.54,1.00,51,1970s,aggressive|warm,english,true
3841,Broken Streets Falling,SolarSignal3841,kpop,romantic,0.19,67,0.59,0.74,0.03,53,2010s,fierce|introspective,japanese,false
3842,Shadow Reverie Paper,CosmicMachine3842,folk,intense,0.55,106,0.57,0.64,0.27,45,2020s,dark|bright,hindi,false
3843,Wild Motion Rooftop,GlassSociety3843,jazz,energetic,0.22,99,0.60,0.68,0.44,34,1990s,aggressive|moody,english,false
3844,Silent Pulse Broken,GlassCircuit3844,country,angry,0.26,158,0.54,0.68,0.41,56,1990s,warm|introspective,english,true
3845,Rooftop Lights City,LoLanterns3845,hiphop,melancholy,0.49,94,0.46,0.48,0.69,50,1970s,uplifting|bittersweet,french,false
3846,Rooftop Road Distant,SilverSociety3846,metal,sad,0.51,129,0.59,0.41,0.07,62,2000s,gritty|moody,hindi,false
3847,Sunrise Coding Amber,IndigoWave3847,jazz,sad,0.72,140,0.04,0.76,0.43,58,2020s,dreamy|uplifting,japanese,false
3848,Falling Pulse Neon,SolarProject3848,latin,chill,0.59,137,0.39,0.25,0.07,49,2020s,dreamy|warm,portuguese,false
3849,Iron Motion Silent,GlassProject3849,lofi,angry,0.61,122,0.11,0.45,0.37,61,1970s,gritty|warm,french,false
3850,Golden Rain Golden,CrimsonDrift3850,folk,happy,0.58,98,0.34,0.57,0.25,71,2010s,nostalgic|tender,german,false
3851,Storm Parade Neon,VelvetGarden3851,jazz,hopeful,0.57,108,0.76,0.64,0.38,56,1980s,moody|warm,portuguese,false
3852,Glass Bloom Hollow,SilverCollective3852,pop,intense,0.64,167,0.43,0.59,0.47,57,2010s,triumphant|focused,japanese,false
3853,Ocean Signal Silent,CrimsonCollective3853,rock,hopeful,0.37,113,0.58,0.68,0.52,65,1980s,nostalgic|moody,french,false
3854,Neon Road Amber,LoHouse3854,hiphop,energetic,0.29,108,0.63,0.77,0.27,87,2000s,gritty|dreamy,german,false
3855,Shadow Rain Storm,GoldenHouse3855,country,romantic,0.46,100,0.24,0.94,0.83,61,2020s,bittersweet|aggressive,spanish,false
3856,Frozen Bloom Shadow,GlassSound3856,rnb,energetic,0.26,128,0.41,0.41,0.09,54,1970s,warm|uplifting,portuguese,false
3857,Faded Heart Silent,NeonParade3857,edm,romantic,0.73,88,0.44,0.19,0.52,56,1970s,bittersweet|introspective,english,false
3858,Iron Parade Faded,LoHouse3858,hiphop,hopeful,0.12,100,0.50,0.09,0.52,75,1990s,gritty|bittersweet,spanish,false
3859,Desert Motion Electric,NovaLanterns3859,pop,chill,0.10,102,0.17,0.94,0.22,66,1990s,cozy|moody,portuguese,false
3860,Silent Road City,GlassSignal3860,rock,chill,0.48,80,0.95,0.94,0.25,36,2010s,wistful|fierce,portuguese,false
3861,Winter Bloom Electric,GlassParade3861,latin,intense,0.40,104,1.00,0.42,0.37,70,2010s,focused|bittersweet,japanese,false
3862,Hollow Runner Wild,IronRoom3862,country,melancholy,0.00,116,0.42,0.73,0.49,62,1970s,introspective|uplifting,japanese,false
3863,Wild Streets Amber,PaperProject3863,hiphop,chill,0.64,102,0.54,0.75,0.49,66,1980s,nostalgic|uplifting,portuguese,false
3864,Midnight Streets Golden,SilverSound3864,classical,energetic,0.13,150,0.38,0.45,0.05,82,1970s,playful|bittersweet,korean,false
3865,Distant Coding Sunrise,Indigo73865,indie,energetic,0.76,88,0.34,0.44,0.00,49,1990s,bittersweet|cozy,japanese,false
3866,Amber Dreams Shadow,Silver73866,indie,intense,0.80,71,0.85,0.61,0.70,49,1970s,nostalgic|tender,portuguese,false
3867,Library Coding Shadow,PaperCircuit3867,metal,energetic,0.50,85,0.93,0.35,0.32,100,2000s,moody|focused,german,false
3868,Rising Signal Faded,IronSignal3868,country,sad,0.69,129,0.65,0.54,0.37,14,2010s,dark|wistful,german,false
3869,Summer Rain Desert,IronGarden3869,rnb,energetic,0.67,122,0.40,0.40,0.09,48,1980s,fierce|uplifting,portuguese,false
3870,Rooftop Parade Wild,LoLanterns3870,rnb,angry,0.26,141,0.35,0.52,0.12,39,1970s,focused|bittersweet,japanese,false
3871,Golden Pulse Paper,Crimsonline3871,country,peaceful,0.48,97,0.37,0.20,0.40,98,2020s,aggressive|warm,hindi,false
3872,Sunrise Runner Glass,SolarUnion3872,reggae,peaceful,0.75,110,0.55,0.81,0.18,65,1990s,uplifting|bright,german,false
3873,Storm Motion Electric,AmberWave3873,indie,romantic,0.43,68,0.64,0.24,0.11,58,2020s,triumphant|aggressive,korean,true
3874,Burning Echo Silent,CrimsonDrift3874,pop,intense,0.59,131,0.40,0.73,0.00,47,2010s,dark|dreamy,french,false
3875,Summer Motion Distant,StaticParade3875,folk,happy,0.74,106,0.67,0.68,0.00,52,1970s,playful|dark,french,false
3876,Distant Waves Burning,EchoSociety3876,country,happy,0.65,145,0.49,0.58,0.09,45,1970s,bright|dark,english,false
3877,Winter Echo Faded,StaticRiders3877,edm,peaceful,0.48,63,0.39,0.25,0.30,92,1990s,dreamy|wistful,hindi,false
3878,Burning Fire Ocean,PaperDrift3878,classical,energetic,0.53,126,0.17,0.64,0.26,82,2000s,nostalgic|tender,hindi,false
3879,Electric Coding Burning,Loline3879,jazz,chill,0.90,115,0.31,0.36,0.42,39,2010s,dreamy|cozy,german,false
3880,Shadow Static Library,ShadowRiders3880,kpop,angry,0.41,106,0.72,0.52,0.10,61,2010s,tender|triumphant,portuguese,false
3881,City Road Wild,EchoWave3881,kpop,melancholy,0.61,153,0.73,0.38,0.37,41,1970s,aggressive|dark,portuguese,false
3882,Desert Fire Falling,IndigoLanterns3882,edm,intense,0.00,115,0.75,0.37,0.38,34,1970s,dreamy|gritty,french,false
3883,Amber Drift Ocean,ShadowSignal3883,pop,angry,0.69,62,0.86,0.92,0.57,45,2010s,fierce|warm,korean,false
3884,Summer City Hollow,SilverCollective3884,pop,happy,1.00,93,0.03,0.44,0.33,50,2000s,dark|introspective,german,false
3885,Burning Nights Storm,StaticUnion3885,jazz,happy,0.51,156,0.54,0.64,0.10,74,2020s,introspective|focused,korean,false
3886,Amber Fire Hollow,IndigoGarden3886,metal,peaceful,0.96,93,1.00,0.56,0.55,70,2000s,moody|bright,korean,false
3887,Wild Waves Amber,NeonUnion3887,hiphop,chill,0.34,138,0.38,0.08,0.24,21,1970s,warm|playful,portuguese,false
3888,Wild Rain Iron,NovaTheory3888,folk,peaceful,0.42,159,0.48,0.81,0.31,83,2020s,aggressive|wistful,spanish,false
3889,Desert Static Rising,IndigoProject3889,hiphop,intense,0.00,165,0.10,0.46,0.58,33,1990s,triumphant|cozy,hindi,false
3890,Midnight Motion Shadow,AmberWave3890,jazz,energetic,0.68,103,0.50,0.41,0.06,43,1970s,bright|dreamy,portuguese,false
3891,Sunrise Heart Amber,PaperMachine3891,metal,sad,0.47,91,0.90,0.51,0.35,41,1970s,triumphant|dark,portuguese,true
3892,Hollow Bloom Desert,IndigoDrift3892,pop,sad,0.31,75,0.53,0.69,0.17,95,2010s,triumphant|bittersweet,spanish,false
3893,Neon Pulse Ocean,LunarRoom3893,latin,romantic,0.27,72,0.55,0.18,0.07,65,2000s,playful|fierce,portuguese,false
3894,Desert Fire Burning,GoldenLanterns3894,hiphop,chill,0.46,69,0.77,0.49,0.39,71,1990s,wistful|focused,japanese,false
3895,Rooftop Pulse Distant,EchoSignal3895,pop,sad,0.52,56,0.80,0.18,0.59,36,2000s,bright|aggressive,german,false
3896,Falling Parade Storm,NovaParade3896,hiphop,chill,0.42,123,0.55,0.51,0.00,59,2010s,dark|introspective,portuguese,false
3897,Electric Sky Silent,LunarCircuit3897,rnb,angry,0.86,86,0.62,0.36,0.36,69,1980s,moody|warm,english,false
3898,Distant Road Hollow,StaticSociety3898,kpop,angry,0.38,119,0.34,0.44,0.00,27,2020s,warm|triumphant,french,false
3899,Shadow Reverie Midnight,Lunar73899,rnb,energetic,0.24,77,0.60,0.80,0.18,69,1980s,tender|warm,korean,false
3900,Broken Parade Storm,GlassSociety3900,rnb,intense,0.37,94,0.81,0.73,0.58,85,1990s,uplifting|playful,english,false
3901,Amber Dreams Hollow,Indigoline3901,hiphop,angry,0.38,141,0.65,0.56,0.31,54,1970s,gritty|cozy,korean,false
3902,Falling Runner Amber,NovaCollective3902,lofi,chill,0.42,137,0.51,0.22,0.66,59,1990s,moody|bright,spanish,false
3903,Frozen Waves Winter,VoltSociety3903,country,happy,0.76,156,0.39,0.17,0.52,48,1980s,focused|nostalgic,french,false
3904,Broken Rain Hollow,StaticDrift3904,reggae,angry,0.56,114,0.72,0.38,0.77,48,1970s,dreamy|introspective,japanese,false
3905,Distant Dreams Burning,LunarProject3905,lofi,romantic,1.00,122,0.61,0.23,0.45,59,1990s,fierce|moody,korean,false
3906,Frozen Sky Rising,ShadowMachine3906,metal,energetic,0.13,94,0.15,0.09,0.38,71,1970s,aggressive|playful,japanese,false
3907,Falling Lights Golden,PaperSound3907,indie,angry,0.43,158,0.67,0.69,0.46,6,2020s,playful|dark,japanese,false
3908,Silent Drift Paper,StaticEcho3908,indie,peaceful,1.00,128,0.53,0.39,0.25,59,1980s,tender|dreamy,english,false
3909,Falling Coding Electric,CosmicRiders3909,kpop,peaceful,0.85,116,0.00,0.25,0.75,1,1970s,nostalgic|introspective,german,false
3910,Storm Runner Distant,CosmicLanterns3910,country,melancholy,0.70,61,0.37,0.33,0.45,51,1990s,wistful|bittersweet,portuguese,false
3911,Hollow City Winter,StaticDrift3911,rnb,angry,0.00,66,0.70,0.55,0.52,58,1970s,cozy|nostalgic,spanish,false
3912,Amber Heart Ocean,PixelDrift3912,hiphop,melancholy,0.47,98,0.44,0.83,0.41,38,2000s,bittersweet|tender,portuguese,false
3913,Sunrise Motion Wild,CosmicSociety3913,folk,sad,0.69,143,0.97,0.60,0.50,21,2010s,bittersweet|playful,korean,false
3914,Broken Nights Rising,IndigoHouse3914,reggae,peaceful,0.65,114,0.18,0.59,0.55,50,1980s,moody|introspective,french,false
3915,Glass Static Frozen,PixelSignal3915,edm,chill,0.48,84,0.74,0.26,0.57,37,1990s,moody|bittersweet,english,false
3916,Velvet Nights Storm,VoltCollective3916,kpop,energetic,0.29,81,0.25,0.33,0.32,66,1980s,uplifting|dreamy,japanese,false
3917,Rooftop Bloom Electric,CosmicSociety3917,kpop,chill,0.15,96,0.35,0.77,0.70,63,2020s,focused|cozy,japanese,false
3918,Rooftop Coding Burning,LunarTheory3918,edm,sad,0.84,116,0.58,0.52,0.95,90,1990s,wistful|tender,english,false
3919,Rooftop Dreams Rooftop,LunarLanterns3919,folk,romantic,0.08,137,0.15,0.57,0.89,68,1980s,aggressive|warm,german,false
3920,Distant Fire Winter,IronSociety3920,jazz,melancholy,0.65,109,0.30,0.61,0.48,39,2020s,triumphant|cozy,spanish,false
3921,Electric Nights Amber,SolarSociety3921,folk,intense,0.76,90,0.28,0.23,0.30,59,2010s,tender|uplifting,spanish,false
3922,Iron Waves Broken,VoltGarden3922,metal,energetic,0.47,137,0.14,0.01,0.69,43,1990s,bright|moody,japanese,false
3923,City Streets Broken,LunarEcho3923,lofi,intense,0.26,146,0.27,0.39,0.15,48,2000s,cozy|gritty,english,false
3924,Faded Road Sunrise,StaticRiders3924,classical,melancholy,0.33,135,0.76,0.71,0.77,58,1990s,cozy|triumphant,portuguese,false
3925,Amber Sky Electric,NeonHouse3925,latin,chill,0.08,102,0.66,0.81,0.50,60,2000s,moody|focused,spanish,false
3926,Glass Bloom Amber,LoLanterns3926,rock,intense,0.59,50,0.25,0.34,0.97,72,1980s,bright|fierce,hindi,false
3927,Amber Nights Ocean,CrimsonParade3927,classical,chill,0.29,128,0.25,0.55,0.21,12,2000s,dreamy|focused,french,false
3928,Crystal Pulse,CrimsonHouse3928,jazz,energetic,0.39,78,0.68,0.81,0.00,53,2010s,uplifting|dark,french,false
3929,Golden Motion Electric,SolarTheory3929,edm,hopeful,0.13,98,0.73,0.96,0.00,47,1990s,cozy|bittersweet,spanish,false
3930,Neon Reverie Crystal,IronUnion3930,kpop,chill,0.56,137,0.55,0.50,0.23,42,2010s,tender|triumphant,portuguese,false
3931,Hollow Static City,CrimsonLanterns3931,pop,angry,0.76,72,0.91,0.29,0.48,52,1980s,fierce|warm,korean,false
3932,Broken Streets Velvet,GlassUnion3932,kpop,hopeful,0.23,119,0.20,0.43,0.73,68,2000s,warm|moody,german,false
3933,Shadow Motion Golden,GoldenCollective3933,reggae,energetic,0.41,69,0.40,0.81,0.57,83,2010s,nostalgic|warm,portuguese,false
3934,Hollow Static Library,ShadowUnion3934,latin,sad,0.57,102,0.70,0.47,0.51,42,1980s,wistful|fierce,portuguese,false
3935,Falling Signal Glass,LoHouse3935,indie,energetic,0.21,145,0.46,0.76,0.38,70,1990s,introspective|aggressive,japanese,false
3936,Rising Hymn Ocean,GlassHouse3936,reggae,melancholy,0.78,104,0.42,0.47,0.61,63,2020s,warm|bright,french,false
3937,Rising City Glass,LoCircuit3937,classical,chill,0.43,140,0.58,0.88,0.06,61,2010s,bittersweet|cozy,portuguese,false
3938,Summer Lights Midnight,NeonTheory3938,country,sad,0.22,122,0.71,0.45,0.19,69,2000s,fierce|tender,english,false
3939,City Signal Amber,Loline3939,rock,energetic,0.51,114,0.70,0.42,0.41,54,1970s,warm|nostalgic,german,false
3940,Broken Horizon Desert,ShadowUnion3940,jazz,happy,0.62,103,0.25,0.55,0.68,37,1980s,uplifting|gritty,hindi,false
3941,Ocean Nights Wild,SilverGarden3941,reggae,happy,0.88,101,0.39,0.74,0.49,31,2010s,dreamy|fierce,english,false
3942,Frozen Reverie Frozen,Echo73942,metal,angry,0.57,120,0.87,0.60,0.38,55,1980s,tender|aggressive,hindi,false
3943,Rising Static Distant,AmberDrift3943,reggae,energetic,0.17,119,0.37,0.60,0.36,57,2010s,cozy|dreamy,korean,false
3944,Desert Signal Iron,AmberProject3944,edm,chill,0.06,88,0.53,0.64,0.19,57,1970s,cozy|introspective,german,true
3945,Crystal Road Crystal,GlassSound3945,edm,angry,0.21,135,0.34,0.66,0.49,58,1990s,warm|nostalgic,portuguese,false
3946,Velvet Motion Midnight,LunarSociety3946,kpop,happy,0.91,191,0.66,0.63,0.00,68,1970s,warm|aggressive,german,false
3947,Amber Runner Rooftop,ShadowParade3947,edm,sad,0.86,139,0.44,0.27,0.12,73,1990s,fierce|focused,portuguese,false
3948,Winter Lights Rising,StaticGarden3948,edm,melancholy,0.17,76,0.73,0.76,0.52,31,1970s,focused|uplifting,french,true
3949,Storm Lights Ocean,PaperLanterns3949,latin,angry,0.71,98,0.23,0.90,0.05,77,1970s,focused|fierce,korean,false
3950,Glass Runner Wild,ShadowSignal3950,metal,romantic,0.15,87,0.20,0.36,0.15,61,2010s,playful|aggressive,english,false
3951,Iron Lights Storm,VelvetRiders3951,jazz,intense,0.56,107,0.06,0.35,0.10,79,2020s,bittersweet|playful,french,true
3952,Sunrise Static Broken,VoltEcho3952,reggae,romantic,0.38,50,0.64,0.81,0.62,30,1990s,introspective|gritty,french,false
3953,Frozen Pulse Crystal,GoldenUnion3953,indie,sad,0.46,108,0.32,0.49,0.50,35,1970s,playful|cozy,japanese,true
3954,Velvet Heart Neon,StaticEcho3954,lofi,chill,0.14,139,0.77,0.56,0.64,62,2010s,introspective|dreamy,english,false
3955,Silent Sky Neon,VelvetProject3955,pop,melancholy,0.39,136,0.61,0.63,0.39,13,1970s,playful|nostalgic,german,true
3956,Paper Echo Sunrise,ShadowProject3956,latin,happy,1.00,183,0.25,0.38,0.79,25,1970s,warm|playful,hindi,false
3957,Frozen Runner Storm,VoltSociety3957,lofi,peaceful,0.84,67,0.44,0.75,0.16,68,2010s,cozy|introspective,english,false
3958,Midnight Reverie Wild,LoHouse3958,latin,peaceful,0.57,144,0.58,0.47,0.51,69,2000s,cozy|fierce,spanish,false
3959,Neon Waves Distant,CosmicSociety3959,latin,hopeful,0.47,83,0.10,0.93,0.58,68,1990s,uplifting|dreamy,german,false
3960,Burning Bloom Wild,VelvetTheory3960,lofi,happy,0.97,75,0.96,0.63,0.73,63,2000s,wistful|nostalgic,korean,false
3961,Winter Horizon Golden,CrimsonWave3961,pop,peaceful,1.00,149,0.38,0.63,0.72,78,1990s,bittersweet|tender,german,false
3962,Storm Dreams City,IndigoGarden3962,jazz,angry,0.43,93,0.46,0.12,0.00,50,1980s,focused|tender,hindi,false
3963,Desert City Shadow,NovaUnion3963,lofi,melancholy,0.61,112,0.54,0.70,0.65,25,2000s,nostalgic|introspective,spanish,false
3964,Neon Sky Electric,LunarSound3964,metal,angry,0.74,114,0.00,0.22,0.29,63,2020s,moody|cozy,korean,false
3965,City Road Rising,GoldenParade3965,metal,chill,0.85,76,0.56,0.60,0.53,53,2000s,uplifting|bright,japanese,false
3966,Broken Drift Distant,IronSociety3966,lofi,energetic,1.00,106,0.40,0.30,0.58,31,1980s,introspective|uplifting,korean,false
3967,Crystal Heart Neon,NeonLanterns3967,hiphop,chill,0.74,80,0.13,0.30,0.00,74,1980s,uplifting|nostalgic,portuguese,false
3968,Midnight Fire Golden,SilverTheory3968,classical,chill,0.40,164,0.99,0.61,0.85,75,2010s,nostalgic|fierce,spanish,true
3969,Burning Runner Crystal,IndigoCollective3969,kpop,hopeful,0.75,102,0.15,0.59,0.33,62,1970s,bright|wistful,portuguese,false
3970,Rooftop Rain Frozen,AmberTheory3970,classical,romantic,0.56,99,0.64,0.63,0.41,97,2000s,gritty|warm,spanish,false
3971,Falling Rain Iron,GoldenProject3971,hiphop,happy,0.39,175,0.51,0.45,0.23,53,2000s,wistful|cozy,korean,false
3972,Ocean Motion Burning,PixelLanterns3972,edm,peaceful,0.75,112,0.28,0.49,0.54,74,1970s,aggressive|gritty,japanese,false
3973,Summer Dreams Broken,CrimsonRoom3973,lofi,happy,0.48,113,0.55,0.15,0.81,55,1980s,moody|dark,japanese,false
3974,Silent Rain Velvet,GoldenWave3974,jazz,chill,0.49,78,0.61,0.25,0.27,48,1990s,uplifting|cozy,german,false
3975,Crystal Parade Ocean,Silverline3975,jazz,energetic,0.77,89,0.75,0.46,0.26,96,1970s,tender|triumphant,english,true
3976,Broken Sky Glass,GlassDrift3976,indie,intense,0.99,140,0.81,0.45,0.44,52,2010s,bright|moody,hindi,true
3977,Silent Pulse Library,VoltSound3977,lofi,chill,0.32,71,0.11,0.60,0.27,84,2010s,dark|bright,french,true
3978,Ocean Heart Ocean,LunarRiders3978,indie,melancholy,0.71,84,0.58,1.00,0.68,35,2010s,focused|triumphant,spanish,false
3979,Sunrise Horizon Electric,VelvetRiders3979,rnb,energetic,0.67,78,0.40,0.46,0.00,88,1980s,focused|wistful,korean,false
3980,Shadow Parade Neon,LunarTheory3980,rnb,intense,0.41,116,0.58,0.65,0.33,55,1980s,bright|warm,english,false
3981,Paper Motion Rising,GoldenProject3981,country,intense,0.58,78,0.48,0.59,0.56,32,1970s,bright|playful,korean,false
3982,Neon Parade Desert,VelvetRoom3982,lofi,sad,0.33,140,0.84,0.59,0.74,59,2010s,uplifting|triumphant,hindi,true
3983,Wild Horizon Velvet,IndigoEcho3983,indie,intense,0.65,62,0.34,0.73,0.53,55,2010s,tender|aggressive,korean,false
3984,Sunrise Pulse Summer,CrimsonSound3984,folk,intense,0.60,88,0.66,0.85,0.00,23,1980s,playful|wistful,japanese,false
3985,Electric Bloom Iron,PixelCollective3985,hiphop,happy,0.64,127,0.45,0.90,0.08,42,2000s,dark|tender,french,false
3986,Falling Hymn Rooftop,StaticTheory3986,hiphop,happy,0.28,120,1.00,0.73,0.13,61,1990s,playful|dreamy,japanese,false
3987,Silent City Falling,PixelWave3987,edm,happy,0.62,122,0.44,0.51,0.74,30,2010s,aggressive|bright,french,false
3988,Ocean Bloom Silent,GlassCollective3988,jazz,intense,0.00,118,0.37,0.62,0.73,62,2000s,tender|playful,korean,false
3989,Rising Static Silent,Neon73989,edm,sad,0.53,71,0.47,0.29,1.00,57,2000s,dreamy|bright,hindi,false
3990,Frozen Bloom Library,IronProject3990,indie,romantic,0.51,139,0.48,0.47,0.26,23,1990s,gritty|cozy,korean,false
3991,Rooftop Dreams Wild,SilverSignal3991,indie,sad,0.56,132,0.72,0.76,0.43,5,2000s,triumphant|dreamy,hindi,true
3992,Silent Lights Summer,LoSociety3992,rnb,peaceful,0.50,109,0.89,0.44,0.26,95,2010s,dark|cozy,portuguese,true
3993,Silent Nights Ocean,IndigoProject3993,jazz,happy,0.23,99,0.08,0.73,0.08,31,1990s,moody|tender,english,false
3994,Library Parade Hollow,PaperTheory3994,latin,angry,0.37,116,0.40,0.62,0.11,43,2000s,fierce|moody,french,false
3995,Electric Runner Crystal,EchoGarden3995,lofi,chill,0.53,144,0.79,0.49,0.00,46,2020s,gritty|bittersweet,japanese,false
3996,Storm Coding Ocean,CosmicLanterns3996,kpop,hopeful,0.42,109,0.60,0.56,0.39,55,1980s,playful|bright,korean,false
3997,Golden Road Paper,Novaline3997,metal,hopeful,0.65,124,0.42,0.42,0.71,23,2010s,triumphant|introspective,german,false
3998,Hollow City Golden,StaticHouse3998,latin,energetic,0.50,115,0.30,0.40,0.52,53,2010s,playful|triumphant,hindi,false
3999,Faded Static Shadow,SilverEcho3999,reggae,angry,0.65,169,0.56,0.69,0.88,39,1980s,fierce|bittersweet,korean,false
4000,Falling Hymn Paper,NeonGarden4000,lofi,happy,0.36,118,0.60,0.39,0.32,57,2020s,uplifting|focused,korean,false
4001,Faded Signal Glass,LunarHouse4001,country,hopeful,0.36,136,1.00,0.75,0.41,56,2000s,fierce|wistful,german,false
4002,Broken Drift Amber,GoldenCollective4002,rnb,happy,0.71,138,0.50,0.66,0.51,18,1970s,wistful|bright,french,false
4003,Summer Coding Electric,Paper74003,lofi,hopeful,0.84,103,0.79,0.08,0.49,35,1970s,gritty|playful,korean,false
4004,Electric Runner Midnight,CosmicUnion4004,folk,melancholy,0.40,110,0.37,0.43,0.00,27,2000s,gritty|dreamy,french,false
4005,Summer Lights Neon,NovaGarden4005,pop,sad,0.78,86,0.77,0.44,0.42,35,2010s,triumphant|focused,hindi,false
4006,Paper Horizon Storm,CosmicDrift4006,metal,intense,0.78,112,0.58,0.54,0.45,63,1990s,tender|bright,japanese,false
4007,Neon Heart Burning,ShadowSound4007,metal,intense,0.78,157,0.53,0.87,0.89,26,1980s,triumphant|playful,portuguese,false
4008,Frozen Bloom Midnight,CrimsonParade4008,indie,sad,0.59,131,0.55,0.66,0.06,69,1980s,wistful|gritty,french,false
4009,Wild City Paper,NeonEcho4009,metal,romantic,0.12,101,0.66,0.33,1.00,44,1990s,introspective|cozy,korean,false
4010,Neon Nights Glass,StaticParade4010,classical,sad,0.82,71,0.30,0.82,0.38,100,2020s,gritty|dark,korean,false
4011,Frozen Road Rooftop,GlassCollective4011,pop,intense,0.43,68,0.55,0.64,0.65,67,2020s,uplifting|playful,hindi,false
4012,Glass Signal Glass,AmberGarden4012,jazz,hopeful,0.43,95,0.36,0.65,0.94,53,2010s,warm|dark,japanese,false
4013,Library Rain Broken,GlassWave4013,country,peaceful,0.51,140,0.84,0.47,0.30,22,2000s,cozy|aggressive,portuguese,false
4014,Storm Waves Rooftop,NovaUnion4014,indie,melancholy,0.24,137,0.61,0.72,0.09,74,2020s,dark|introspective,korean,true
4015,Faded Signal Neon,LunarEcho4015,metal,hopeful,0.98,125,0.13,0.43,0.00,13,1990s,bright|introspective,german,false
4016,Iron Dreams Golden,CosmicCollective4016,jazz,happy,0.84,130,0.15,0.52,0.00,40,2000s,bittersweet|gritty,portuguese,false
4017,Hollow Rain Neon,VelvetLanterns4017,country,sad,1.00,133,0.73,0.82,0.35,66,1990s,fierce|bright,portuguese,false
4018,Paper Sky Winter,Shadowline4018,indie,hopeful,0.66,92,0.29,0.93,0.91,57,1980s,introspective|fierce,hindi,false
4019,Electric Hymn Desert,GoldenCircuit4019,country,hopeful,0.64,97,0.15,0.36,0.04,81,2000s,triumphant|cozy,korean,false
4020,Wild Waves Neon,StaticSociety4020,indie,chill,0.38,90,0.59,0.53,0.51,66,2010s,dreamy|fierce,english,false
4021,Frozen Waves Falling,IndigoGarden4021,hiphop,hopeful,0.81,109,0.62,0.80,0.00,48,1970s,uplifting|triumphant,korean,false
4022,Shadow Streets Falling,IronRiders4022,country,chill,0.53,144,0.29,0.84,0.18,31,2010s,moody|focused,french,false
4023,Iron Waves Sunrise,CosmicRoom4023,metal,chill,0.08,102,0.35,0.78,0.00,44,2010s,nostalgic|moody,hindi,true
4024,Rising City Ocean,SolarRoom4024,lofi,melancholy,0.68,72,0.32,0.32,0.35,30,2000s,warm|bittersweet,korean,false
4025,Glass Pulse Rising,PixelRoom4025,hiphop,intense,0.57,154,0.41,0.43,0.12,33,1970s,dark|tender,japanese,false
4026,Faded Parade Desert,NeonTheory4026,pop,romantic,0.56,50,0.48,0.27,0.47,24,2020s,playful|fierce,french,false
4027,Midnight Nights Paper,EchoHouse4027,jazz,peaceful,0.46,87,0.44,0.45,0.42,44,1990s,dreamy|dark,french,false
4028,Desert Reverie Silent,PixelUnion4028,folk,chill,0.65,116,0.86,0.26,0.32,41,1970s,focused|playful,korean,false
4029,Rising Streets Library,PaperSignal4029,classical,energetic,0.60,129,0.51,0.49,0.00,50,2010s,introspective|focused,english,false
4030,Amber Streets Neon,CrimsonTheory4030,reggae,sad,0.34,183,0.60,0.38,0.00,33,1990s,bittersweet|warm,spanish,false
4031,Desert Rain Glass,SolarSound4031,reggae,energetic,0.33,142,0.36,0.45,0.26,58,2000s,fierce|wistful,japanese,false
